List,URL,Title,Price,Description,Logo,Photos,Review,Code,Details
Business Books,https://www.amazon.com/dp/1857886119,The 80/20 Principle and 92 Other Powerful Laws of Nature: The Science of Success,39.95,"""This fascinating analysis uncovers the business management secrets hidden in physics, biology and mathematics"" -Washington Post (Featured Leadership book of the week 9/15/14)

In this follow-up to his best-selling The 80/20 Principle, the power law that helped hundreds of thousands achieve more by doing less, Richard Koch puts science to work, applying ninety-two other natural laws to promote the ""science of success"" within the ever-changing world of business. What does Charles Darwin's theory of natural selection prove about developing a niche product line? How can Isaac Newton's laws of motion and gravity help in a crowded marketplace? This is a must-have book for business leaders looking for clear, evidence-based reasoning that explains why some companies seem to find success everywhere they turn, while others don't make progress.",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/61f7FhE8+vL.jpg
https://m.media-amazon.com/images/I/81xhQU2pTmL.jpg
https://m.media-amazon.com/images/I/31qZ8udKfLL.jpg","This book had a huge influence o nTim Ferriss and he reckons he woudn't be where he is today without it. He also hosted Richard Kock twice on his podcast, and they were some of the most shared episodes. 80% of results are driven by 20% of effort. Ferriss claims that each of us should revisit the 80/20 principle every four weeks and apply it to both our work and personal lives to see how we can focus on maximizing our productive output.",,
Business Books,https://www.amazon.com/dp/0887307280?tag=readthistwice-20&linkCode=ogi&th=1&psc=1,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,10.77,"Revised and updated, this business classic explores the entrepreneurial myth that most small business owners assume they're entrepreneurs. However, Michael E. Gerber shows that understanding technical work isn't enough to run a successful business. He guides readers through the stages of a business's lifespan, teaching the key distinction between working on and in your business. Whether or not it's a franchise, Gerber shows how to apply franchising principles to any business in order to grow it productively.",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/61CSzmk-twL.jpg
https://m.media-amazon.com/images/I/91LJ4RUc-HL.jpg
https://m.media-amazon.com/images/I/31r3ysfPElL.jpg
https://m.media-amazon.com/images/I/71c0iFIoojL.jpg
https://m.media-amazon.com/images/I/81iPBN5Ae8L.jpg
https://m.media-amazon.com/images/I/31egGyw4OHL.jpg","Tim Ferriss: ""This is a classic. Gerber is a masterful storyteller, and this classic of automation discusses how to use a franchise mindset, not necessarily the business model, but a franchise mindset to create scalable businesses that are based on rules and systems and not outstanding employees. If you’re stuck in your own business, this book can help you get unstuck.""",,
Business Books,https://www.amazon.com/dp/0060833459,The Effective Executive: The Definitive Guide to Getting the Right Things Done (Harperbusiness Essentials),11.99,"What makes an effective executive?

The measure of the executive, Peter F. Drucker reminds us, is the ability to ""get the right things done."" This usually involves doing what other people have overlooked as well as avoiding what is unproductive. Intelligence, imagination, and knowledge may all be wasted in an executive job without the acquired habits of mind that mold them into results.

Drucker identifies five practices essential to business effectiveness that can, and must, be learned:
Managing time
Choosing what to contribute to the organization
Knowing where and how to mobilize strength for best effect
Setting the right priorities
Knitting all of them together with effective decision-making
Ranging widely through the annals of business and government, Peter F. Drucker demonstrates the distinctive skill of the executive and offers fresh insights into old and seemingly obvious business situations.",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/619O1ieMN4L.jpg
https://m.media-amazon.com/images/I/71FL4K5V+xL.jpg
https://m.media-amazon.com/images/I/41HtkRyJspL.jpg
https://m.media-amazon.com/images/I/41kLPxXOj0L.jpg","So the book that I would recommend and I’ve said this before to at least a handful of people, my favorite book on productivity is called The Effective Executive. A terribly bland title by Peter Drucker, The Effective Executive . . . But The Effective Executive is fantastic because it focuses on being effective – doing the right things, not just doing things well – being efficient.



Because you can be really good at doing things that don’t matter. The effectiveness part – so in a way, I’m not dodging the question, but I think that the vast majority of people I talk to when they say, oh my God, I’m overwhelmed by X, Y and Z. I need to hire people A, B and C to handle it. Those tasks largely shouldn’t be done in the first place.

via #181: How to ‘Waste Money’ To Improve the Quality of Your Life

Probably the best book or almost certainly the best book I’ve ever read on productivity, really with a focus by necessity on being effective, doing the right things, and not efficiency, doing things well because you can do a lot of unimportant or meaningless things extremely quickly and well.  That does not make them important, and it will never make them important.

That’s a great one . . . So good.",,
Business Books,https://geni.us/hard-thing-hard-thing,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,12.99,"Ben Horowitz, cofounder of Andreessen Horowitz and one of Silicon Valley's most respected and experienced entrepreneurs, offers essential advice on building and running a startup—practical wisdom for managing the toughest problems business school doesn’t cover, based on his popular ben’s blog.

While many people talk about how great it is to start a business, very few are honest about how difficult it is to run one. Ben Horowitz analyzes the problems that confront leaders every day, sharing the insights he’s gained developing, managing, selling, buying, investing in, and supervising technology companies. A lifelong rap fanatic, he amplifies business lessons with lyrics from his favorite songs, telling it straight about everything from firing friends to poaching competitors, cultivating and sustaining a CEO mentality to knowing the right time to cash in.

Filled with his trademark humor and straight talk, The Hard Thing About Hard Things is invaluable for veteran entrepreneurs as well as those aspiring to their own new ventures, drawing from Horowitz's personal and often humbling experiences.",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/810u9MkT3SL.jpg
https://m.media-amazon.com/images/I/81EBi1Fl-KL.jpg
https://m.media-amazon.com/images/I/31vxzIZad0L.jpg
https://m.media-amazon.com/images/I/71IQAYlYJ5L.jpg
https://m.media-amazon.com/images/I/816OBv+POYL.jpg
https://m.media-amazon.com/images/I/319J90eLBcL.jpg","Fred Wilson: ""Chapter five in 'The Hard Thing About Hard Things' is possibly the best thing I’ve read about leading a tech company""
 

 Peter Thiel: “Every management guide presumes that all great companies follow a formula. But successful startups don’t imitate; they build innovations that can’t be copied.
 

 Ben Horowitz knows no recipe guarantees success. He has written the first true guide for protecting a startup from self-sabotage.”
 

 Raoul Pal: ""Without question, to me, The Hard Thing About Hard Things by Ben Horowitz is, by far, the best, most brutally honest and incredibly useful book about the realities of starting and running a company, ever written.""
 

 Tim Ferriss: ""A great book""
 

 Larry Page: ""Ben's book is a great read - with uncomfortable truths about entrepreneurship and how to lead to a company.
 

 It's also an inspiring story of a business rebirth through sheer willpower.""
 

 Andrew Wilkinson: ""'The Hard Things About Hard Things' by Ben Horowitz is one of the best business books I've picked up in years.""
 

 Marc Andreessen mentioned 'The Hard Thing about Hard Things' on 'The Tim Ferriss Show' podcast.
 

 Blake Scholl: ""'The Hard Thing about Hard Things' is good.""
 

 One of Max Levchin's answers to 'What's your favourite business book you'd advise to young entrepreneurs?'
 

 One of the books Keith Rabois recommends for entrepreneurs.
 

 One of five business books Chris Dixon recommended on Twitter.",,
Business Books,https://www.amazon.com/dp/0399535993?tag=readthistwice-20&linkCode=ogi&th=1&psc=1,"The Smartest Investment Book You'll Ever Read: The Proven Way to Beat the ""Pros"" and Take Control of Your Financial Future",12.99,Learn how to invest like a Smart Investor with this guide by Daniel R. Solin. Cut through the financial hype with a four-step plan that lets you create and monitor your investment portfolio in ninety minutes or less. Follow this effortless and effective plan to put your investment earnings in the top 5 percent of all professionally managed money. Don't wait any longer to take control of your financial future!,https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,https://m.media-amazon.com/images/I/81mYUBgRw3L.jpg,"Tim Ferriss: ""The title may not deliver but it is a smart investment book, at the very least.""",,
Business Books,https://www.amazon.com/dp/0684840073,You Can Be a Stock Market Genius: Uncover the Secret Hiding Places of Stock Market Profits,12.99,"A comprehensive and practical guide to the stock market from a successful fund manager—filled with case studies, important background information, and all the tools you’ll need to become a stock market genius.

Fund manager Joel Greenblatt has been beating the Dow (with returns of 50 percent a year) for more than a decade. And now, in this highly accessible guide, he’s going to show you how to do it, too. You’re about to discover investment opportunities that portfolio managers, business-school professors, and top investment experts regularly miss—uncharted areas where the individual investor has a huge advantage over the Wall Street wizards. Here is your personal treasure map to special situations in which big profits are possible, including:

-Spin-offs
-Restructurings
-Merger Securities
-Rights Offerings
-Recapitalizations
-Bankruptcies
-Risk Arbitrage

Prepared with the tools from this guide, it won’t be long until you’re a stock market genius!",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,https://m.media-amazon.com/images/I/71yv0h+et5L.jpg,"Read Up on Various Approaches to Investing. Below books and articles I recommend.

Must Read Books: If you invest and are too lazy to do the research, you’ll “get your f*cking face ripped off” – Tim Ferriss
Buffet:
Making of an American Capitalism (unauthorized biography)
Snowball
Buffet’s Annual Letters Paperback
More Money than God (on Hedge Funds)
Michael Lewis: Liar’s Poker and Flash Boys
If you expect you can compete with pro’s with unlimited resources, you’re wrong
Just like you wouldn’t compete in a sport or anything else against the best and most resourced
You Can Be a Stock Market Genius: Joel Greenblot
Event based investing
Intermediate/advanced investors
MONEY, Master the Game (Tony Robbins)
Compilation of interview with various experts
Tim’s interview with Tony Robbins
Daniel Solin: The Smartest Investment Book You’ll Ever Read
Buy and hold/Index approach
What I learned Losing a Million Dollars: Learn of psychological and cognitive biases
Problems arise when you address failure to bad luck and success to skill
Your risk tolerance is generally much lower than what you think (5-10% loss/quarter)
Black Swan, Antifragile
Venture Deals: Startup Deal Structure
The 80/20 Principle: Richard Koch, Less is More Anthology, 4 hour workweek
Rethinking Investing Blog Posts by Tim",,
Business Books,https://www.amazon.com/dp/0231164688?tag=analogue0c-20,What I Learned Losing a Million Dollars (Columbia Business School Publishing),19.39,"Jim Paul's meteoric rise took him from a small town in Northern Kentucky to governor of the Chicago Mercantile Exchange, yet he lost it all―his fortune, his reputation, and his job―in one fatal attack of excessive economic hubris. In this honest, frank analysis, Paul and Brendan Moynihan revisit the events that led to Paul's disastrous decision and examine the psychological factors behind bad financial practices in several economic sectors.",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/61CDyTy51BL.jpg
https://m.media-amazon.com/images/I/81iEpJQFj7L.jpg
https://m.media-amazon.com/images/I/71cXss5C7IL.jpg
https://m.media-amazon.com/images/I/71WrV5kpKBL.jpg
https://m.media-amazon.com/images/I/312bGrhcotL.jpg","There’s a really good book called, that I enjoy anyway, called What I Learned Losing a Million Dollars, which looks at sort of the psychological dynamics of making and losing money and what happens when you personalize this or attribute to talents what should not be attributed to talent, or lack thereof, but what I realized, for instance, when we were talking earlier how I realized I was not well suited for the public markets, personally, if I’m the one doing the managing of that, is I realized exactly that, but a small loss, the magnitude of that negative emotion was exponentially larger than even if I made five times that amount positively. 

via Ep 63: Hedge Funds, Investing, and Optimizing Lifestyle (Mark Hart, Raoul Pal)

The newest book in The Tim Ferriss Book Club (all five books here) is a fast read entitled What I Learned Losing a Million Dollars. It packs a wallop.



This book came into my life through N.N. Taleb, who has made several fortunes by exploiting the hubris of Wall Street. Given how vociferously he attacks most books on investing, it caught my attention that he openly praises this little book.



My first dinner with Nassim was in September of 2008. It was memorable for many reasons. We were introduced by the incredible Seth Roberts (may he rest in peace), and we sat down just as Lehman Brothers was collapsing, which Taleb had — in simple terms — brilliantly shorted. We proceeded to drinking nearly all of the Prosecco in the restaurant, while talking about life, business, and investing. Lehman Brothers would end up the largest bankruptcy filing in US history, involving $600+ billion in assets…



The next day, I had a massive hangover and a hunger to study Nassim. Step one was simple: reading more of what he read.



I grabbed a copy of What I Learned Losing a Million Dollars, and I’ve since read it many, many times. For less than $20, this tool has helped me avoid multiple catastrophes, and I can directly credit its influence to roughly 1/2 of my net worth (!). The ROI has been incredible.



The book — winner of a 2014 Axiom Business Book award gold medal — begins with the unbroken string of successes that helped Jim Paul achieve a jet-setting lifestyle and land a key spot with the Chicago Mercantile Exchange. It then describes the circumstances leading up to 7-figure losses, and the essential lessons he learned from it. The theme that emerges: there are 1,000,000+ ways to make money in the markets (and many of the “experts” contradict one another), but all losses appear to stem from the same few causes.  So why not study these causes to help improve your odds of making and keeping money?



Even if you don’t view yourself as an “investor,” this book can help you make better decisions in life. Also, the stories, similar in flavor to Liar’s Poker, are hilarious and range from high-stakes baccarat to Arabian horse fiascos.  For entertainment value alone, this book is worth the time.



I hope you enjoy — and benefit from — the lessons and laughs as much as I have.",,
Business Books,https://www.amazon.com/dp/0812975219?tag=analogue0c-20,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets (Incerto),15.19,,https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,https://m.media-amazon.com/images/I/61kyvPqcQbL.jpg,"Fooled By Randomness, also very good.",,
Cognition & Focus Enhancers,"https://www.questnutrition.com/cdn/shop/products/qst-000883_mct-oil-powder_1_480x480.png?v=1681757600
https://www.questnutrition.com/cdn/shop/products/13626_QN_USA_WoodstockTransitionalImages_ProteinPowders_MCTOil_IS_6e9e8073-8abe-41df-92c9-59e98fc9fef3_480x480.jpg?v=1681757600
https://www.questnutrition.com/cdn/shop/products/13626_QN_USA_WoodstockTransitionalImages_ProteinPowders_MCTOil_IS-1_fcf391db-4bb1-404f-b892-4fca80a15463_480x480.jpg?v=1681757600",Quest Nutrition MCT Powder Oil,30.27,"Enjoy delicious Quest™ MCT Powder, it’s a great way to get the athlete-worthy nutrition you want without piling on the sugar and net carbs you don’t. Great for before or after a workout. They’re rich and delicious and have 0g net carbs, and 0g of sugar per scoop*. Quest Protein Powders are gluten free.
• BOOST YOUR FATTY ACIDS: Quest MCT Oil Powder gives your body a boost of fatty acids to help aid with energy throughout your day
• KETO FRIENDLY FATS: Quest MCT Oil Powders offer 7g of saturated fats per scoop. The perfect addition to your favorite meals
• GREAT IN COFFEE: You can add a scoop of Quest MCT Oil Powder to your morning coffee to give your coffee a Medium Chain Triglyceride kick
• Canister contains 1 lb of Quest MCT Oil Powder.",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/8187MyZm84L._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/812BsR4u3RL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/71S6EZ7RYAL._AC_SL1000_.jpg
https://m.media-amazon.com/images/I/71S4mQvK-KL._AC_SL1000_.jpg
https://m.media-amazon.com/images/I/61IYRyb-3dL._AC_SL1000_.jpg
https://m.media-amazon.com/images/I/71yQvMTATUL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81iIFYUN5UL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/71j5A8ASvIL._AC_SL1500_.jpg",This MCT powder can be mixed with beverages for energy and mental clarity. Tim prefers it over the oil form for its ease of digestion and transport.,,
Cognition & Focus Enhancers,https://hostdefense.com/collections/capsules/products/lions-mane-capsules,Host Defense Lion’s Mane Mushroom,19.95,"Lion's Mane mushroom capsules promote mental clarity, focus, & memory.* Support a balanced mood.* Promote nervous system health.* Support a balanced immune response.* Memory & nerve support.* Known as “The Smart Mushroom”, Lion’s Mane is an ideal choice for anyone seeking cognition, memory, & mood support.","https://hostdefense.com/cdn/shop/files/Host_Defense_Mushrooms-Logo_Stacked-Blk_1000px.jpg?v=1670521536&width=1280
","https://hostdefense.com/cdn/shop/products/HostDefense-NCHE30-Lion_sManeCapsules-30ct-RightFacing-00.jpg?v=1663207203&width=1920
https://hostdefense.com/cdn/shop/products/HostDefense-NCHE30-Lion_sManeCapsules-30ct-ServingSize-00.jpg?v=1663207203&width=1920
https://hostdefense.com/cdn/shop/products/HostDefense-NCHE30-Lion_sManeCapsules-30ct-FrontCenter-00.jpg?v=1663207203&width=1920
https://hostdefense.com/cdn/shop/products/HostDefense-NCHE30-Lion_sManeCapsules-30ct-LeftSide-00.jpg?v=1663207203&width=1920
https://hostdefense.com/cdn/shop/products/HostDefense-NCHE30-Lion_sManeCapsules-30ct-RearCenter-00.jpg?v=1663207203&width=1920
https://hostdefense.com/cdn/shop/products/HostDefense-NCHE30-Lion_sManeCapsules-30ct-RightSide-00.jpg?v=1663207203&width=1920
https://hostdefense.com/cdn/shop/products/HostDefense-NCHE30-Lion_sManeCapsules-30ct-SupplementFacts-00.jpg?v=1663207203&width=1920","This supplement contains lion’s mane mushroom, which may enhance brain health. Tim takes this to improve memory, focus, and creativity. He appreciates its organic, non-GMO, and US-grown nature.",,
Cognition & Focus Enhancers,https://choosemuse.com/products/muse-s-gen-2,Muse S (Gen 2) | Muse™ EEG-Powered Meditation & Sleep Headband,399.99,"Unlock a calmer, more relaxed version of yourself Muse is perfect for anyone who wants to: Reduce daily stress Improve their mental wellbeing Improve their meditation practice Improve their sleep Improve their daily mood Live a calmer, more relaxed, present life Muse is a smart headband that acts as your personal medit",https://choosemuse.com/cdn/shop/t/28/assets/android-chrome-192x192.png?v=119752024733754516651680632829,"https://choosemuse.com/cdn/shop/products/CartMuseSGen2.jpg?crop=center&height=1000&v=1634697735&width=1206
https://choosemuse.com/cdn/shop/products/MuseSProductImage3_1.png?crop=center&height=1000&v=1681145226&width=1206
https://choosemuse.com/cdn/shop/products/MuseSProductImage4_8b0a151e-f2c2-4683-9a0a-57c14c708d16.png?crop=center&height=1000&v=1681145231&width=1206
https://choosemuse.com/cdn/shop/products/MuseSProductImage10.png?crop=center&height=1000&v=1681145231&width=1206
https://choosemuse.com/cdn/shop/products/MuseSProductImage1.png?crop=center&height=1000&v=1681145233&width=1206
","This device measures brain activity for effective meditation. Tim uses it to train focus, calmness, and awareness. He recommends the brand Muse S.",,
Cognition & Focus Enhancers,https://shop.bulletproof.com/products/coffee-kit-brain-octane-oil-ghee-ground,Bulletproof Coffee Kit,59.3,This kit has everything you need to make Bulletproof Coffee. Grass-fed ghee combines with our clean ground coffee and Brain Octane Oil to create keto coffee.,https://shop.bulletproof.com/cdn/shop/files/logo-square-alt_32x32.jpg?v=1682641840,"https://shop.bulletproof.com/cdn/shop/files/quiz-menu-fly-out-image-300-x-300_350x.jpg?v=1678988930
https://shop.bulletproof.com/cdn/shop/files/D2B8D223-C340-42B2-92AC-0B3718397FD9_350x.jpg?v=1641262163
https://shop.bulletproof.com/cdn/shop/files/evergreen-cookbook-navigation-dropdown-300x225_350x.jpg?v=1641261989
https://shop.bulletproof.com/cdn/shop/files/Brain_Octane_16oz_front_btf_300.jpg
https://shop.bulletproof.com/cdn/shop/files/ghee_btf_300.jpg
https://shop.bulletproof.com/cdn/shop/files/Original_12oz_Ground_straight_btf_300.jpg
https://shop.bulletproof.com/cdn/shop/products/bulletproof-coffee-kit-orignal-pods-brain-octane-oil-ghee-front_338x338.jpg?v=1662050686
https://shop.bulletproof.com/cdn/shop/products/bulletproof-coffee-kit-orignal-whole-bean-brain-octane-oil-ghee-front_338x338.jpg?v=1662050670
https://shop.bulletproof.com/cdn/shop/files/carousel-1-brain-octane-oil-32-oz_338x338.jpg?v=1689358456
https://shop.bulletproof.com/cdn/shop/products/bulletproof-ghee-tub-13-5-oz-1200x1200-af_338x338.jpg?v=1602865084
https://shop.bulletproof.com/cdn/shop/products/ground-coffee-original-roast-12-oz-front_338x338.jpg?v=1662038148
https://shop.bulletproof.com/cdn/shop/files/crs-original-creamer-tub-14-8-oz-front-min_338x338.jpg?v=1689284532
https://shop.bulletproof.com/cdn/shop/files/bulletproof-brain-octane-C8-oil-bottle-16-oz-1200x1200-af_338x338.jpg?v=1689724594
https://shop.bulletproof.com/cdn/shop/products/bulletproof-apple-cider-vingear-max-gummies-tub-front-60ct-1200x1200-af_1_338x338.jpg?v=1672204605
https://shop.bulletproof.com/cdn/shop/products/bulletproof-protein-crisp-bar-peanut-butter-single_338x338.jpg?v=1663697813
https://shop.bulletproof.com/cdn/shop/products/Innerfuel_338x338.jpg?v=1672204617
https://cdn.shopify.com/s/files/1/0004/3470/0319/files/carousel-1-brain-octane-oil-32-oz_400x400.jpg?v=1689358456
https://cdn.shopify.com/s/files/1/0004/3470/0319/products/ground-coffee-original-roast-12-oz-front_400x400.jpg?v=1662038172
https://cdn.shopify.com/s/files/1/0004/3470/0319/products/bulletproof-vitamins-a-d-k-bottle-30-ct-1200x1200-af_400x400.jpg?v=1672204612
https://cdn.shopify.com/s/files/1/0004/3470/0319/files/crs-original-creamer-tub-14-8-oz-front-min_400x400.jpg?v=1689284532
https://cdn.shopify.com/s/files/1/0004/3470/0319/products/1-bulletproof-crs-high-achiever-coffee-bag-10oz-front_400x400.jpg?v=1662154138
https://cdn.shopify.com/s/files/1/0004/3470/0319/products/carousel-1-unflavored-collagen-17oz_400x400.jpg?v=1677633225",This coffee blend with butter and MCT oil provides sustained energy. Tim uses it for morning energy and ketosis.,,
Cognition & Focus Enhancers,https://apolloneuro.com/products/apollo-wearable,Vagus Nerve Stimulator & Reset Vibrating Wristband | Apollo Neuro,325,"The Apollo vibrating wristband for vagus nerve rest helps you relax focus, sleep, and feel better. Feel the good vibes today.",https://apolloneuro.com/cdn/shop/files/favicon_32x32.png?v=1658025422,"https://cld.accentuate.io/41447575945413/1660601428792/man-wearing-black-apollo-clip-on-polo-shirt-min.jpg?v=1660601428792&options=w_990
https://cld.accentuate.io/41447575945413/1660601428792/man-wearing-black-apollo-clip-on-polo-shirt-min.jpg?v=1660601428792&options=w_990
https://cld.accentuate.io/41447575945413/1660601428792/man-wearing-black-apollo-clip-on-polo-shirt-min.jpg?v=1660601428792&options=w_990
https://cld.accentuate.io/41447575945413/1660601428792/man-wearing-black-apollo-clip-on-polo-shirt-min.jpg?v=1660601428792&options=w_990
https://cld.accentuate.io/41447575945413/1660601428792/man-wearing-black-apollo-clip-on-polo-shirt-min.jpg?v=1660601428792&options=w_990
https://cld.accentuate.io/41447575945413/1660601428792/man-wearing-black-apollo-clip-on-polo-shirt-min.jpg?v=1660601428792&options=w_990","This wearable changes mood using vibrations. Tim uses it for sleep, relaxation, focus, and productivity. He recommends the brand Apollo Neuro.",,
Daily Essential Supplements,https://athleticgreens.com/en,AG1 by Athletic Greens®,99,"75 high-quality vitamins, minerals, and whole-food sourced nutrients
Comprehensive nutrition in one simple scoop
Build a healthy daily habit in one minute per day
Promotes gut health, supports immunity, boosts energy, and more* 
Backed by our Scientific Advisory Board",https://drinkag1.com/_nuxt/icons/icon_64x64.d61ebe.png,"https://images.prismic.io/athletic-greens-new/c0d95126-0445-4536-be92-1f45bea8b8e0_singlepackpouch.png?q=80&auto=format&w=594
https://images.prismic.io/athletic-greens-new/405eb1b1-6e75-467d-a644-0a2c73eb1584_travelpacksingle.png?q=80&auto=format&w=594
https://images.prismic.io/athletic-greens-new/a8320d46-5529-495b-b287-1ea9dbec069d_pourpouchnewcrop.jpg?q=80&auto=format&w=650
https://images.prismic.io/athletic-greens-new/eca5604f-24d6-4ff0-9279-7be83cc7328e_BABpacks.jpg?q=80&auto=format&w=650
https://images.prismic.io/athletic-greens-new/12257594-1b4d-463c-a125-e1360a0defe7_the_women_drinks.jpg?auto=compress,format
https://images.prismic.io/athletic-greens-new/6394df45-b551-4b2c-8730-ce39738c5f33_offers_desktop.png?q=80&auto=format&w=1884
https://images.prismic.io/athletic-greens-new/405cb828-a7fa-4f1c-8feb-cde806f7e4a1_glass.jpg?auto=compress,format
https://images.prismic.io/athletic-greens-new/119bbe0d-c405-4d4b-83c5-8a0c21c92941_bottle.jpg?auto=compress,format
https://images.prismic.io/athletic-greens-new/b7f0978c-e46a-48c9-8a8d-370ccca68dec_IG4.png?auto=compress,format
https://images.prismic.io/athletic-greens-new/c6814f28-752a-47e9-9c15-587cd9eec1ea_Copy+of+morningshadows_bottle-2.jpg?auto=compress,format","I get asked all the time, “If you could only use one supplement, what would it be?” My answer is usually Athletic Greens, my all-in-one nutritional insurance. I recommended it in The 4-Hour Body in 2010 and did not get paid to do so. I do my best with nutrient-dense meals, of course, but AG further covers my bases with vitamins, minerals, and whole-food-sourced micronutrients that support gut health and the immune system. 

Right now, Athletic Greens is offering you their Vitamin D Liquid Formula free with your first subscription purchase—a vital nutrient for a strong immune system and strong bones.",AthleticGreens.com/Tim,Visit AthleticGreens.com/Tim to claim this special offer today and receive the free Vitamin D Liquid Formula (and five free travel packs) with your first subscription purchase! That’s up to a one-year supply of Vitamin D as added value when you try their delicious and comprehensive all-in-one daily greens product.
Daily Essential Supplements,https://www.amazon.com/Nordic-Naturals-ProOmega-High-Intensity-Cardiovascular/dp/B07CZSW26G/?tag=offsitoftimfe-20,Nordic Naturals ProOmega®,34,"DAILY WELLNESS: For your daily routine, 12 grams of unflavored collagen hydrolysate per serving. Types I and III hydrolyzed collagen provide the amino acids necessary to support hair, skin, nail, and joint health.
HYDROLYZED FORMULA: An easy way to supplement collagen into your diet. Great Lakes Wellness Collagen Peptides Powder provides support for collagen production as we age. Good for men and women.
QUICK DISSOLVE: Collagen Peptides Powder is sourced from grass-fed bovine. Easily digested and absorbed by the body quickly for maximum benefits.
EASY TO USE: Daily Wellness Quick Dissolve Collagen Peptides is easy to add to hot or cold liquids. Perfect for coffee, tea, smoothies, or recipes.
MADE FOR YOU: iGen Non-GMO Tested, Paleo-Friendly, KETO-Certified, Gluten-Free, No Preservatives, Glyphosate Free, Kosher, and Halal. No added dairy, sugars, or sweeteners. Flavorless and odorless.",https://res.cloudinary.com/dncij7vr6/image/upload/v1686825737/Favolist%204.0/app%20assets/amazon-logo-transparent_lhlhxu.png,"https://m.media-amazon.com/images/I/71a-qqhVfXL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81zvwD6aEqL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81fMRq5QlBL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81hXPdyA3NL._AC_SL1500_.jpg
https://m.media-amazon.com/images/I/81dlAIJJhyL._AC_SL1500_.jpg","Kevin Rose: Can I ask you what manufacturer of omega-3s do you take?

Tim Ferriss: Yeah, I can tell you, let me grab it.

Kevin Rose: All right. Tim has left the room. Let’s see if this makes the edit or not. I’m betting it’s Carlson Wild Caught Omega-3s.

Tim Ferriss: Here we are.

Kevin Rose: You have another one.

Tim Ferriss: These are delicious. Don’t judge me, Kevin. This is not my usual, but in any case. All right. I’ve two here, this is a Nordic Naturals ProOmega 650 EPA/450 DHA. And that is right here, this guy, which I’ve been using. And then the second that I have is Thorne, that’s T-H-O-R-N-E Super EPA. And that’s this guy right here.

Those are what I ended up choosing. And the effect is really remarkable and it’s difficult, I would say it’s impossible, let me be clear. It’s impossible for me to say that my sleep quality improvements are entirely caused by this. I’m also spending more time outside. I’m doing rucksacking. I’m getting more exercise. I’m getting a lot more sun exposure. I’m in nature. My body tends to just down-regulate, it’s not the right word, but my nervous system downshifts a lot when I’m surrounded by nature.

Kevin Rose: It’s huge.

Tim Ferriss: So there are many factors and there are many environmental changes in my life that have taken place in the last few weeks. But I have spent a lot of time in nature at many other points and my sleep has not had this dramatic change. So it leads me to think that there are other causal factors. And this is the most obvious. This is the most obvious thing.",,
