Profile,List,Info
Tim Ferriss,Athletic Performance Supplements,"Pushing the body to its limits requires support. Here are the supplements Tim recommends to aid recovery, boost energy, and enhance athletic prowess."
Tim Ferriss,Sleep Optimization Supplements,"Improving sleep is an obsession for many self-experimenters and bio-hackers, and Ferriss is no different. He has tried everything when it comes to improving the quality of sleep, falling asleep faster, and waking up more refreshed. The following supplements are ones Tim has had success with when it comes to improving sleep. If you are interested in Tim’s other hacks to improve sleep, be sure to check out our article on it."
Tim Ferriss,PAGG Stack For Fat-Loss,"Ferriss first coined the PAGG Stack in the 4-Hour Body. Tim has literally tried everything when it comes to enhancing fat-loss. This includes stimulants, and many other unhealthy methods. Finally, Ferriss came up with a healthy and sustainable method. Enter the PAGG Stack. The PAGG Stack consists of policosanol, alpha-lipoic acid, green tea flavonals, and garlic extract."
Tim Ferriss,Sleep Gear,"Quality sleep is more than just a matter of supplements. From blackout curtains to the perfect mattress, here's the gear that Ferriss trusts to ensure a night of restful and rejuvenating sleep."
Tim Ferriss,Writing and Journaling,"The act of writing is both therapeutic and a powerful tool for self-reflection for Ferriss. Discover the tools and journals he recommends for capturing thoughts, goals, and insights."
Tim Ferriss,Grooming,"Looking good isn't just about vanity. It's about feeling your best self. Dive into the grooming products and routines that Ferriss swears by.
"
Tim Ferriss,Apparel,"Tim has always valued functionality combined with style. This list contains the clothing and accessories that are both practical and stylish, ensuring he's always ready for any occasion."
Tim Ferriss,Health & Fitness Books,"Knowledge is power, and these fitness books have provided Tim with valuable insights into achieving peak physical condition, understanding the body, and more.
"
Tim Ferriss,Socio-Cultural Books,"Delve into the books that have broadened Ferriss' understanding of societies, cultures, and human interactions, offering unique perspectives and insights.
"
Tim Ferriss,Fiction Books,"Sometimes, escape and imagination are just as important as facts. Here are the fiction titles that have captivated, entertained, and inspired Ferriss.
"
Tim Ferriss,Biographical Books,"Peeking into the lives of remarkable individuals can be deeply enlightening. These biographies have left an indelible mark on Ferriss' understanding of success, struggle, and the human spirit."
Tim Ferriss,Historical Books,"Understanding our past can inform our future. These are the historical works that have captivated Ferriss, offering rich context to the world's events."
Tim Ferriss,Self-Improvement Books,"Personal growth is a lifelong journey. These titles have offered Ferriss valuable insights, strategies, and perspectives on bettering oneself.
"
Tim Ferriss,Spiritual Books,"The quest for meaning and purpose is universal. Ferriss has found solace, inspiration, and profound insights in these spiritual reads."
Tim Ferriss,Business Books,"Entrepreneurship, strategy, and innovation are close to Ferriss' heart. Here are the business-centric books that have guided his ventures and mindset."
Tim Ferriss,Science Books,"Ferriss' thirst for knowledge extends to the vast world of science. These titles have expanded his understanding of the universe, from the microscopic to the cosmic.
"
Joe Rogan,Joe Rogan's Anti-Aging Supplements,"Joe Rogan has never been one to shy away from discussing the realities of aging, and he's always on the hunt for ways to maintain vitality and longevity. Here are the anti-aging supplements that have made their way into Joe's regimen, believed to combat the signs and symptoms of aging."
Joe Rogan,Joe Rogan's Nootropic Supplements,"The mind, as Joe often discusses, is a powerful tool, and keeping it sharp is essential. Dive into the nootropic supplements that Joe has experimented with and often recommends for cognitive enhancement, focus, and overall brain health."
Joe Rogan,Joe Rogan's Supplements,"From maintaining a fighter's physique to ensuring optimal daily health, Joe's supplement stack is comprehensive. These are the core supplements that Joe Rogan frequently discusses and includes in his personal regimen for general wellness."
Joe Rogan,JRE Experience Podcast Sponsors & Promos,"The Joe Rogan Experience is more than just a podcast; it's a phenomenon. Over the years, various brands have been fortunate enough to earn a nod from Joe, either as official sponsors or through genuine admiration. Here's a compilation of those brands and promotions that have been highlighted on the JRE."
Joe Rogan,Joe Rogan’s Post-Workout Recovery,"Dietary supplements play an important role in Joe Rogan’s pursuit of total human optimization. He’s been taking supplements for most of his adult life to benefit his general health and well-being, to improve athletic performance and recovery as well as to boost cognitive function. Rogan relies on supplements to provide his body with proper amounts of essential nutrients especially those that are deficient or missing in his diet.

We’ve compiled a list of every capsule, tablet, powder and liquid that Joe Rogan supplements with (sources are provided). Taking everything in his supplement stack would likely cost several hundred dollars per month. Fortunately for Rogan, his investment in Onnit not only provides him with a supply of free supplements but also a piece of the multi-billion dollar supplement industry.

In addition, we’ve included the supplements that frequent JRE podcast guest Dr. Rhonda Patrick takes for comparison purposes. She has a PhD in biomedical science and is an expert on nutrition, brain health and aging. Her approach to supplementation is from a science and research-based perspective."
Joe Rogan,Keto Products on the Joe Rogan Experience Podcast,"To supplement his modest income from Spotify, Joe Rogan reads a few sponsored ads that may appear at the beginning of each episode, once or twice during the podcast or not at all. User experience seems to vary. Most of the ads include discounts or exclusive offers for JRE listeners. Listed below are the most recent sponsors that advertise on The Joe Rogan Experience Podcast along with their respective promo codes or offer landing pages. Some of these deals are available for a limited time while others are ongoing."
Joe Rogan,What is Joe Rogan drinking on the JRE Podcast?,"Joe Rogan is more active than ever despite getting older. His current exercise routine includes weightlifting, cardio machines, hill sprints, trail running, hot yoga, Brazilian jiu-jitsu and kickboxing. To prevent his body from breaking down while maintaining the frequency and intensity of these workouts, Rogan employs a number of tools, techniques and treatments for post-workout recovery. He’s always looking for the latest and greatest methods of recovery to relieve nagging aches and pains, reduce inflammation, stiffness and muscle soreness, heal injuries and build muscle.

Rogan currently uses a combination of rest, massage, stretching, hydration, nutrition, inversion therapy, dry sauna, cryotherapy, red light therapy and CBD for his post-workout recovery. It’s no secret that Testosterone Replacement Therapy (TRT), stem cell treatments and Regenokine also play an important role. In addition, he performs some specific exercises to prevent and rehabilitate injuries."
Joe Rogan,Joe Rogan Experience Podcast Equipment & Studio Setup,"Joe Rogan has been an advocate of the ketogenic diet for a few years now. The ketogenic diet (also known as keto) is a low carbohydrate, high fat diet that puts your body in a metabolic state called ketosis. The liver converts fat into ketones which your body uses for energy instead of glucose from carbs. Many people use a keto diet to lose weight but there are also several health benefits especially for those diagnosed with cancer, diabetes and epilepsy. Joe Rogan says he’s mostly keto although he does cheat on occasion especially when on vacation or for linguine with clams.

Joe Rogan Experience Podcast Episode #994
Dom D’Agostino was a guest on the JRE Podcast #994. Dr. D’Agostino is one of the leading experts on ketosis and the ketogenic diet. He is an Associate Professor (Department of Molecular Pharmacology and Physiology) at the University of South Florida Morsani College of Medicine in Tampa and a Research Scientist at the Institute for Human and Machine Cognition (IHMC). His research focuses on the effects of nutrition on diseases that impact muscles and movement.



If you’re currently on a ketogenic diet, considering going keto or just wondering what keto is all about, this episode is definitely worth listening to. D’Agostino goes in-depth on the science and research behind the ketogenic diet. He discusses the types of foods he typically eats (roughly the same 12 to 15 foods every week including lots of egg yolk omelets) as well as the keto products he personally uses and recommends to those on a keto diet. People send him a ton of keto products which he personally vets out by testing his blood glucose response and ketone levels. He only likes about 10% of the products sent to him"
Joe Rogan,Books Read by Joe Rogan in 2023,"Joe Rogan is always drinking something weird on the podcast, drinks that the average person hasn’t tried or maybe even heard of. From mushroom coffee to kombucha to Kill Cliff, what is this stuff? If you’re trying to find a drink or brand you heard mentioned on the podcast or just wondering what Joe Rogan’s favorite drinks are, check out the list below. Rogan has gone out of his way to say that he hasn’t been paid to promote these brands, he just really likes them."
Joe Rogan,Books Read by Joe Rogan in 2022,"Ever wonder what microphones or headphones are used by Joe Rogan and his guests on The Joe Rogan Experience Podcast? If you’re curious about what podcasting equipment is used to produce one of the biggest podcasts in the world, we’ve compiled a full list of the audio/video gear.

Not all of this gear is necessary to record your own podcast. The Joe Rogan Experience is just one example out of thousands of podcasts, the vast majority of which are audio only. Every podcaster will have a custom setup to suit their podcast’s format. Cheaper alternatives for each piece of equipment are definitely available."
Joe Rogan,Books Read by Joe Rogan in 2021,"Listed below are books that Joe Rogan is currently reading or has recently finished reading. Listeners of The Joe Rogan Experience are no doubt familiar with these book titles as Rogan has mentioned them frequently on the podcast (some far more than others). He seems to recommend nearly every book he reads or at least offer high praise.


To be more accurate, Rogan prefers listening to books over reading and typically reads only one physical book for every 7 or 8 audiobooks. He says that audiobooks give him something productive to do to fill the “dead time” while he’s driving to and from the podcast studio, comedy club or airport and when he’s in the sauna. Lately Rogan appears to have multiple audiobooks on the go at the same time.

Whenever Joe Rogan mentions a new book that he’s reading or listening to, we’ll add it to the list."
Joe Rogan,Books Read by Joe Rogan in 2020,
Joe Rogan,Books Read by Joe Rogan in 2019,
Joe Rogan,Books Read by Joe Rogan in 2018,
Joe Rogan,Other Book Recommendations by Joe Rogan,
Joe Rogan,Most Mentioned Books on JRE,A list of the most frequently mentioned books on the Joe Rogan Experience Podcast
Vincent Rehms,Work & Producvitiy Setup,"I don't spend much money on vanity objects such as clothes. I'd much rather spend, or INVEST, money in things that drive my productivity. I've been a productivity fanatic since university."
Vincent Rehms,Travel Gear,"Since 2018, I've switched homes over 20 times now. You may call me an expert-level digital nomad. As such, packability, efficiency and minimalism are key tenets for my life."
Vincent Rehms,Functional Clothing,"I am a sucker for functional clothing, wearable for any occasion. It's just efficient and reduces the amount of clothes you need."
Vincent Rehms,Tech & Gadgets,Been a techhead my whole life. Love to find good value for money and things that just WORK.
Vincent Rehms,Foodism,"Le favorite snacks and food items, inspired by my childhood."
Vincent Rehms,Daily Stuff,"Just some items for daily life, including hygiene products, home items and general stuff."
Vincent Rehms,Favorite Fiction Books,"Mostly camped in the scifi genre. It's because good scifi incorporates high-philosophy with modern scientific knowledge (which classic philosophy lacks). There is a reason why the most successful visionaries of the world (Bill Gates, Elon Musk, Naval Ravikant, Barack Obama etc.) ALL love scifi.

Good scifi speculates about and in part predicts the future - branded as a ""nerdy"" endeavour by the masses, until the masses find themselves within that very world (computers, then social media, then crypto, AI – in the near future cyborgism, immortality, colonization of space).

The very best scifi also tackles the biggest questions of existence without the mystic shrouding of religion. Concepts such as the many-world theory of quantum physics, the idea of life as an antithesis to entropy or the theme of human transcendence should be, in my mind, essential reading for any smart person.

I'm also very much into fantasy and historical novels. Huge credit go to my brothers, who discover most of the unexpected gems in realm of fiction for me."
Vincent Rehms,Favorite Non-FIction Books,"Bettering oneself has never been easier. Designing a good life and fulfilling your calling requires you to know about your biochemistry, the pitfalls of your limited human mind/body, as well as the pitfalls of an external society that wants to place you in a very cramped box. Furthermore, it requires you to seek out spiritual narratives and mental models that propel you in the right direction.

With non-fiction it's important to filter out the biased, the woo-woo, and the shallow (which is unfortunately the majority of non-fiction). It's why I set up Favolist: so like-minded people can filter more quickly."
Vincent Rehms,Games,Boardgames and video games.
Vincent Rehms,The Games Of My Past,"I grew up in poverty and felt permanently inferior among my rich peers at my scholarship-funded private school. I toned down my nerdiness, to not appear like Hermione and be the subject of peer scrutiny, since at the time intelligent people were immediately lowered in status in the chimp-like hierarchy that's middle school (wish I could have gone to school in Asia instead...). In any case, life was truly shit. Add to the mix a depressed, completely broke Dad brooding and toxifying at home, a burnt-out barely making ends meet mom always out on this job or that, dysfunctional relationship between step parent and step child, witnessing alienation and  blatant racism at school, being a charity-case by donning donated clothes or by moving with that dysfunctional family to the oppulent houses of friends so we're in a nice place at least for the holidays – even though on the outside I was sunshine kid, inside I was just fucking through everything and hated everything.

But I had an escape of this shitty life. Sailing across the world of Zelda: The Windwaker, countering constant gloom with shouts of winning joy in sibling/friend contests on Super Smash Brothers, immersing myself in the intricate and epic story of Metal Gear Solid, or being moved to tears by the music of Kingdom Hearts. I truly don't know what I would have done without games, my escape into worlds that were better.

It reminds me of a story I once read in a forum, a 13-year old who had planned his suicide and was very close to executing around Christmas time, when his mom scratched together enough money for a Playstation and Assasin's Creed: Blackflag. He was moved by it, and decided to delay his end for a bit just to weave some last, small, fond memories for his small brother. So he played, with his brother watching intently in the typical little-brotheresque fashion. They immersed themselves in the world, and it brought them escape from the domestic misery. They bonded with the game and with each other. This kid is now a well-off man who managed to build a content life for himself. A tattoo of the Assassin's Creed logo marks his lower arm, and when people ask him about it he says ""Oh I'm just really an embarrasingly huge fan of the AC series"". Little do they know that this game saved his life.

This list is a tribute to the personally meaningful games of my life."
Vincent Rehms,Presents You Can Bribe Me With,This is my wishlist. Pondering if I should setup a sugardaddy feature where you can actively gift items in the wishlist? 🤔
