Profile,List,Info,Source,Date,Notes
thebrokebackpacker,"What to Pack for Europe in 2023: Clothes, Bags, Gadgets + Mor","Europe is one of THE definitive travel experiences. The continent offers a mind blowing, diverse range of places to visit, things to do and cultures to sample.

Because Europe is so fast and diverse, you may well be wondering what to pack. I mean, what electrical sockets do they use? What should you wear?

Well we have answers these questions for you. We’ve compiled a thorough guide on what to pack for Europe. In this post we advise on on what to wear in Europe, a breakdown of what to expect by season and how to pack for each, and what NOT to bring for your travels.

Packing light and smart can seem daunting and overwhelming, but follow our top tips, and you’ll be well on your way. Then, all you have to do is get out there and enjoy the ultimate European experience that awaits!",https://www.thebrokebackpacker.com/europe-packing-list/,,
thebrokebackpacker,The Ultimate Adventure Packing List (for 2023 and Beyond),"Last night I was in my tent at 4200 meters in the snow peaked mountains of Bhutan. As the wind howled, I looked around at all of my gear, and I had an epiphany.

I noticed that I have been taking the same essential gear on all of my adventures, and that each piece of adventure gear was just as important as the one before.

And then it hit me. I realised I needed to make an epic list of the world’s best adventure gear.

And that’s exactly what I did.

I’m a professional adventurer and have spent the last 10 years camping, hiking, and expediting around the world. When it comes to gear – I’ve tried it all, and I know exactly what you need (and what you can leave at home).

This guide has some epic insider information, but most importantly, contains the adventure gear I literally swear by and have been using for years. Whenever I head off into the mountains on a camping trip or a hiking adventure – this is the stuff I pack every single time.

This is the best adventure gear in the world for any type of adventurer. Let’s jump into it!

",https://www.thebrokebackpacker.com/adventure-packing-list/,,
thebrokebackpacker,The COMPLETE Hostel Packing List: Essentials for the Hostel Life,"Oh man, I hate packing.

Is that you right now? I bet that’s you right now. You’re about to head off backpacking and it’s just like “What do I bring to a hostel?”

Yeah, it’s a bore. Packing is also a game though! You do it a few times and you just keep getting better and better. Soon, your packing list will be second nature – no thinking required.

Until that day though, you need a kickass list of the necessities for the hostel goodness.

Enter the one-stop ultimate hostel packing list: this list! Variables will, of course, vary (as they often do). However, inside this list, you’re going to find a suggestion for just about every hostel essential, gadget, and goodie your brain could fathom. Plus, some it probably couldn’t.

So forget your packing woes because I have the perfect hostel checklist for you, oh dear student of the hostel life.


Because it’s road trip season, baby! The open country is calling our names, and we must go because it’s been a rough week at work and things are always better out there in the world.

But knowing what to include in your road trip packing list can be a little daunting. You may have a hard time deciding how many clothes you really need to bring. You might not know what it takes to pack an effective kitchen with you.

Enter our road trip packing list for 2022. We’ve condensed all our experience into this one mega-post to make sure you know what to bring on your next adventure.

If you’ve ever asked yourself “what do I need for a cross country road trip?”, well, we’ve got all the answers below, so let’s crack on!

Form first -aid kits to card games, we’ve listed all of the absolute must-haves that will make your trip a full success.

Let’s get to it!
Is that you right now? I bet that’s you right now. You’re about to head off backpacking and it’s just like “What do I bring to a hostel?”

Yeah, it’s a bore. Packing is also a game though! You do it a few times and you just keep getting better and better. Soon, your packing list will be second nature – no thinking required.

Until that day though, you need a kickass list of the necessities for the hostel goodness.

Enter the one-stop ultimate hostel packing list: this list! Variables will, of course, vary (as they often do). However, inside this list, you’re going to find a suggestion for just about every hostel essential, gadget, and goodie your brain could fathom. Plus, some it probably couldn’t.

So forget your packing woes because I have the perfect hostel checklist for you, oh dear student of the hostel life.",https://www.thebrokebackpacker.com/hostel-packing-list/,,
thebrokebackpacker,Your ESSENTIAL Road Trip Packing List for 2023!,"Do you feel that? That energy gathering inside of you? That sensation where you can’t stand still? Sounds like you’re getting excited…

Because it’s road trip season, baby! The open country is calling our names, and we must go because it’s been a rough week at work and things are always better out there in the world.

But knowing what to include in your road trip packing list can be a little daunting. You may have a hard time deciding how many clothes you really need to bring. You might not know what it takes to pack an effective kitchen with you.

Enter our road trip packing list for 2022. We’ve condensed all our experience into this one mega-post to make sure you know what to bring on your next adventure.

If you’ve ever asked yourself “what do I need for a cross country road trip?”, well, we’ve got all the answers below, so let’s crack on!

Form first -aid kits to card games, we’ve listed all of the absolute must-haves that will make your trip a full success.

Let’s get to it!
Do you feel that? That energy gathering inside of you? That sensation where you can’t stand still? Sounds like you’re getting excited…

Because it’s road trip season, baby! The open country is calling our names, and we must go because it’s been a rough week at work and things are always better out there in the world.

But knowing what to include in your road trip packing list can be a little daunting. You may have a hard time deciding how many clothes you really need to bring. You might not know what it takes to pack an effective kitchen with you.

Enter our road trip packing list for 2022. We’ve condensed all our experience into this one mega-post to make sure you know what to bring on your next adventure.

If you’ve ever asked yourself “what do I need for a cross country road trip?”, well, we’ve got all the answers below, so let’s crack on!

Form first -aid kits to card games, we’ve listed all of the absolute must-haves that will make your trip a full success.

Let’s get to it!

",https://www.thebrokebackpacker.com/road-trip-packing-list/,,
thebrokebackpacker,"The 14 Best Camera Bags of 2023: For DSLR, Mirrorless, Drones + More","So you just bought your first (expensive) travel camera and, if you’re like most photographers, you’re probably worried sick about breaking it.

The best thing you can do? Invest in a great camera bag. But with so many options available, which one is best for you? Worry not. I’m here to help you find the perfect camera bag for your needs. Whether you’re searching out the best budget camera bags, a photography suitcase or something fancy like a quick access camera bag. We’ve got you covered!

When you are looking for the best travel camera bag, you need to understand that every photographer has different needs. With this guide, you’ll receive a ton of tips and info on what constitutes the best camera bag for travel and what makes a solid investment.

By the end of this guide, you’ll know exactly which of the best travel camera bags is best for you.

So let’s go look at some of the best travel camera bags that are currently on the market!

",https://www.thebrokebackpacker.com/best-camera-bag/,,
thebrokebackpacker,The Best Camera Accessories of 2023: What and WHY You Need Them,"If you’re planning on being the next great freelance photographer, then you’re going to need a great kit. No kit is complete without all of the essential camera accessories either!

Like Batman himself, you’ll need a utility belt stocked with all manner of gadgets and gizmos to get shit done. A shutter release for those long exposures, spare batteries for those long shoots, cleaning supplies, and much, much more will all be crucial to your success in the field.

Whether you are a professional or a beginner, there are a lot of different products out there, so you may need guidance when looking for the best camera accessories for your awesome travel camera.

Trust us when we say that having the right camera accessories is just as important as having the right camera or the right tripod. Many of these professional camera accessories are extremely useful if not necessary for any kit. So take a look at our list for the best camera accessories of 2023 and see which ones are best for you.",https://www.thebrokebackpacker.com/best-camera-accessories/,,
thebrokebackpacker,10 Best Drones for Travel & Adventure in 2023,"Drone technology has a come a long way since the early years, and high-quality drones have never been easier to travel with. This guide will review the best travel drones on the market.

Remember your dad’s friend who used to make his own absolutely massive drones in the garage? Or maybe you received one of those little toy helicopters for Christmas? Well, today’s drones are way more useful and cooler!

Modern drones are so affordable and portable that just about anyone can use them, including backpackers and travelers!

Those who travel to the world’s farthest corners can take their own aerial photographs and absolutely stun their friends.

Why wait for a fancy videographer to visit your favorite location when you can go yourself!?

If you’re looking to up your game and buy a drone, this guide has you covered! We assembled this list of the 10 Best Drones for Travel in 2022 for you to refer to.

We highlight some of the top drones on the market and explain why each one is more or less awesome for traveling.

Study this guide well and then choose from the best travel drones to capture your most adventurous moments!
Drone technology has a come a long way since the early years, and high-quality drones have never been easier to travel with. This guide will review the best travel drones on the market.

Remember your dad’s friend who used to make his own absolutely massive drones in the garage? Or maybe you received one of those little toy helicopters for Christmas? Well, today’s drones are way more useful and cooler!

Modern drones are so affordable and portable that just about anyone can use them, including backpackers and travelers!

Those who travel to the world’s farthest corners can take their own aerial photographs and absolutely stun their friends.

Why wait for a fancy videographer to visit your favorite location when you can go yourself!?

If you’re looking to up your game and buy a drone, this guide has you covered! We assembled this list of the 10 Best Drones for Travel in 2022 for you to refer to.

We highlight some of the top drones on the market and explain why each one is more or less awesome for traveling.

Study this guide well and then choose from the best travel drones to capture your most adventurous moments!",https://www.thebrokebackpacker.com/best-travel-drones/,,
thebrokebackpacker,The 8 Best Travel Cameras of 2023 (For ANY Kind of Traveler),"Need a travel camera that is small and light? If you are looking for the best camera for travel photography, you are in luck!

In this post, I’m going to show you everything you need to know so that you can choose the best camera for your travels…

First, I’ll show you the top 5 coolest travel cameras on the market. I picked one for each budget and for different types of travelers so you can easily identify which of these epic adventure cameras is best for you.

Then, I’ll show you all of the important information that you need to know to take your travel photography to the next level. This is must-know information for anyone interested in taking stunning travel photos.

As a professional travel photographer, I know a ton about cameras, and which camera is best for traveling. By the end of this article, you’ll know exactly which travel camera is perfect for you!",https://www.thebrokebackpacker.com/best-travel-camera-for-backpacking/,,
thebrokebackpacker,The Best GoPro Alternatives in 2023: They’re Better Than You Think,"It used to be that if you wanted an action camera, you could choose between a GoPro… or a GoPro. Indeed, GoPro revolutionised if not INVENTED the action camera market and for a long time had the entire space all to themselves.

However, those days are now behind us and there are loads of GoPro alternatives available. The action camera market has expanded greatly and the competition has really got its act together in giving GoPro a run for its money.

But unfortunately, there are still TONS of knock-offs and bad products out there. We don’t want you to get ripped off or spend your money on a crap camera.

So to help, we at Broke Backpacker have put together this epic guide for the best GoPro alternatives. In this bargain guide, we break down 12 unbelievable action cameras and show you why they’re great GoPro alternatives.

By the end of this article, you’ll know EXACTLY which action camera is best for you (and your wallet!).",https://www.thebrokebackpacker.com/best-gopro-alternatives/,,
thebrokebackpacker,The 10 Best Travel Tripods (Up Your PhotographGame in 2023),"So you just bought your new pride and joy: a travel camera worthy of capturing your epic adventures. But now you’re shooting and there are moments where you can’t seem to get a good image. Perhaps it’s too dark or maybe too windy; regardless, all of your pictures just look a bit blurry.

Other times, you may see some photographers’ work and think: “Wow! How did they get the milky way in their pictures” or wonder “how did they make those waterfalls look so dreamy?” Well, my friends, it’s no secret: a good travel tripod is eminently the reason.

When it comes to taking high-quality images, a lightweight travel tripod is just as important as the camera itself. When you have a high-quality travel tripod, your photos will be taken to the next level.

Which is exactly why I put together this definitive guide to the best travel tripods.

With the help of this guide, you’ll know which of these tripods best suits your style, and budget, so you can start shooting like a pro.

From budget tripods to pro level shiz, we’ve got it all.

Let’s jump into it!",https://www.thebrokebackpacker.com/best-travel-tripods/,,
thebrokebackpacker,The Ultimate Backpacking Packing List: Everything You Need To Travel – 2023,"Figuring out what to bring backpacking can be quite a challenge! You have one small bag and so much stuff you could bring. How do you decide exactly what are the backpacking essentials, and what to leave behind? This all makes a huge difference!

One of the most common questions we get from folks about to hit the road is – what gear should I take backpacking? What are the essential items I need? Well, read on. We will  show you exactly what to pack while backpacking by giving you my top-secret lightweight backpacking checklist.

This is the definitive backpacking checklist. We’ve put together this epic guide filled the backpacking essentials – just the things you do need, and some bold claims about the things you don’t need to take backpacking.

Here you will find a complete backpacking packing list of everything you will need for a trip abroad so you can purchase your gear before you set off adventuring around the world. Ready to be amazed by the ultimate backpacking gear list, let’s go!",https://www.thebrokebackpacker.com/backpacking-packing-list/,,
MKBHD,Public MKBHD,,https://www.amazon.com/shop/mkbhd/list/2907Y239RZWWA?ref_=aip_sf_list_spv_ofs_mixed_d,,
MKBHD,My Video Gear,Equipment used to produce and create MKBHD videos,https://www.amazon.com/shop/mkbhd/list/13KTBK8C94TGU?ref_=aip_sf_list_spv_ofs_mixed_d,,
MKBHD,My Everyday Tech: 2022,What’s in my bag and on my phones RIGHT NOW.,https://www.youtube.com/watch?v=-pTGc7cIBIA,,
MKBHD,My Setup,What's at my desk.,https://kit.co/MKBHD/my-setup,,
MKBHD,Video Gear,The gear used to make MKBHD videos.,https://kit.co/MKBHD/video-gear,,
Tim,Fitness,,,,
Tim,"10 Gifts to Make Your Holidays Extra Fun, Relaxing, and Delicious",,https://tim.blog/2022/11/18/10-gifts-to-make-your-holidays-extra-fun-relaxing-and-delicious/,,
,,kit resource seems outdated,https://kit.co/Techsource,,
TechSource,Cool Tech Under $50 – Episode 1,https://www.youtube.com/watch?v=LbQ6fM2n-3E&list=PLTW2MN17j-L0dwviu0B-bMUp1krq-_UDi,,,https://kit.co/Techsource
TechSource,Cool Tech Under $50 – Episode 5,,https://vetted.ai/creator/techsource,,
TechSource,Cool Tech Under $50 – Episode 6,,https://vetted.ai/creator/techsource,,
TechSource,Cool Tech Under $50 – Episode 7,,https://vetted.ai/creator/techsource,,
TechSource,Cool Tech Under $50 – Episode 8,,https://vetted.ai/creator/techsource,,
TechSource,Ultimate Wireless Floating Desk Setup,,https://www.youtube.com/watch?v=6v21gizMbCk&list=PLTW2MN17j-L0OpbxWgx9P9QyV0owwy9PI,,
TechSource,I Built a Full Gaming Setup for $1000 using only Amazon!,,https://www.youtube.com/watch?v=q0EXdKgbsiM&list=PLTW2MN17j-L0OpbxWgx9P9QyV0owwy9PI&index=8,,
TechSource,This PC Desk Setup is Insane!,,https://www.youtube.com/watch?v=DmOJDR6YVdg&list=PLTW2MN17j-L0OpbxWgx9P9QyV0owwy9PI&index=3,,
TechSource,Building* A Console Gaming Setup for $1500 using only Best Buy!,,https://www.youtube.com/watch?v=hB1JNitaiBc&list=PLTW2MN17j-L0OpbxWgx9P9QyV0owwy9PI&index=6,,
TechSource,Building My Ultimate Dream Gaming Setup - Part 5,,https://www.youtube.com/watch?v=vILWTi1AGyE&list=PLTW2MN17j-L1OMGmH2Re-pGrVafdGd83L,,
TechSource,I Built A $1000 Budget Gaming Setup - Episode 1,,https://www.youtube.com/watch?v=og1K5sZYifk&list=PLTW2MN17j-L0OpbxWgx9P9QyV0owwy9PI&index=20&pp=iAQB,,
TechSource,The Unbelievable $800 Gaming PC Build!,,https://www.youtube.com/watch?v=b5tmxIClNIU,,
TechSource,Upgrade your boring setup with these Budget Tech from TEMU!,,https://www.youtube.com/watch?v=jAD6VY8P7Sk,,
Liam Porritt,My BUDGET Productivity Desk Setup - 2023,,https://www.youtube.com/watch?v=-TKzSjOvqV0,,
Liam Porritt,My Most Productive Desk Setup Ever - 2023 Upgrades,,https://www.youtube.com/watch?v=-TKzSjOvqV0,,
Andrew Ethan Zeng,14 Premium Tech Gadgets You’ve Never Heard Of!,,https://www.youtube.com/watch?v=QvjMV_gTAFE&list=PLGLWzsul0GxpXTBetU3GCXnbVh6LDBHeV&index=8,,
Andrew Ethan Zeng,10 Premium Desk Setup Accessories You’ve Never Heard Of!,https://www.andrewethanzeng.com/10-premium-tech-accessories-you-havent-heard-of/,https://www.youtube.com/watch?v=x_bNrBKPimg&list=PLGLWzsul0GxrQlnxM9ATVfScvlRVUSDEu&index=3,,
Andrew Ethan Zeng,10 Premium Office Tech Gadgets You’ve Never Heard Of!,,https://www.youtube.com/watch?v=XH42FXOyE6M&list=PLGLWzsul0GxrQlnxM9ATVfScvlRVUSDEu&index=6,,
Andrew Ethan Zeng,Real BUDGET Tech Gadgets Under $150,https://www.andrewethanzeng.com/10-best-budget-tech-desk-accessories-under-150/,https://www.youtube.com/watch?v=l5L-b2XSHvQ&list=PLGLWzsul0GxrQlnxM9ATVfScvlRVUSDEu&index=8,,
Andrew Ethan Zeng,10 Everyday Tech Gadgets You’ll WANT to Get!,https://www.andrewethanzeng.com/everyday-tech-gadgets-youll-want-to-get/,https://www.youtube.com/watch?v=QvjMV_gTAFE&list=PLGLWzsul0GxrQlnxM9ATVfScvlRVUSDEu&index=9,,
Andrew Ethan Zeng,15 Tech & Desk Accessories You Didn't Know You Wanted,,https://www.youtube.com/watch?v=ra9IjcADyiY&list=PLGLWzsul0GxrQlnxM9ATVfScvlRVUSDEu&index=7,,
Andrew Ethan Zeng,My Tech Everyday Carry 2023 – Minimalist Essentials,,https://www.youtube.com/watch?v=b-Jjzw64XZQ&list=PLGLWzsul0GxpTjw3xxyb-jxOEFavJw2SJ&index=2,,
Andrew Ethan Zeng,My Carry Bag Essentials (After Traveling 35+ Countries),https://www.andrewethanzeng.com/my-carry-bag-essentials-after-traveling-35-countries/,https://www.youtube.com/watch?v=JmRWtOgAPm0&list=PLGLWzsul0GxpTjw3xxyb-jxOEFavJw2SJ&index=3,,
Andrew Ethan Zeng,My Travel Bag & Tech Essentials (after 50+ Work Trips),https://www.andrewethanzeng.com/my-travel-bag-tech-essentials-for-2023-after-50-work-trips/,https://www.youtube.com/watch?v=PXRwUQJNpV0&list=PLGLWzsul0GxpTjw3xxyb-jxOEFavJw2SJ&index=5,,
Andrew Ethan Zeng,Frequent Flyers Premium Tech & Travel Kit (after 300+ flights),,https://www.youtube.com/watch?v=7KevZul1_oA&list=PLGLWzsul0GxpTjw3xxyb-jxOEFavJw2SJ&index=6,,
Andrew Ethan Zeng,The BEST Accessories for YOUR New MacBook!,,https://www.youtube.com/watch?v=TiEBSJRZFmA&list=PLGLWzsul0GxpTjw3xxyb-jxOEFavJw2SJ&index=7,,
Andrew Ethan Zeng,10 Everyday Tech Gadgets You’ll WANT to Get!,,https://www.youtube.com/watch?v=QvjMV_gTAFE&list=PLGLWzsul0GxpTjw3xxyb-jxOEFavJw2SJ&index=9,,
Andrew Ethan Zeng,The MODERN Desk Setup 2023 – Full Tour & Office Setup!,https://www.andrewethanzeng.com/the-modern-desk-setup-2023-full-tour-office-setup/,https://www.youtube.com/watch?v=PbyKuO68ZQc&list=PLGLWzsul0GxoQ0lvgRHE0wwS17peB0f4L&index=1,,
Andrew Ethan Zeng,The SUPER UltraWide Desk Setup | LG 40” 5K Curved Monitor,,https://www.youtube.com/watch?v=ZY2936lXtDg&list=PLGLWzsul0GxoQ0lvgRHE0wwS17peB0f4L&index=3,,
Andrew Ethan Zeng,How to Organize Your Home Office (Desk Tour & Updates),,https://www.youtube.com/watch?v=V6X3FKLA8gY&list=PLGLWzsul0GxoQ0lvgRHE0wwS17peB0f4L&index=4,,
Andrew Ethan Zeng,My Home Office Essentials (After 3 Years Working from Home) + Desk Tour,,https://www.youtube.com/watch?v=spO6gn4e1Q0&list=PLGLWzsul0GxoQ0lvgRHE0wwS17peB0f4L&index=8,,
Andrew Ethan Zeng,The MODERN & Simple Home Office – Desk Upgrades & Setup 2022!,,https://www.youtube.com/watch?v=C-8sFlhfosM&list=PLGLWzsul0GxoQ0lvgRHE0wwS17peB0f4L&index=9,,
Andrew Ethan Zeng,Level UP Your Desk Setup – Minimal Desk Accessories & Razer Unboxing,,https://www.youtube.com/watch?v=v23OBjk8SKA&list=PLGLWzsul0GxoQ0lvgRHE0wwS17peB0f4L&index=14,,
Andrew Ethan Zeng,8 ESSENTIAL Home Office Desk Accessories – BIG Grovemade Unboxing,,https://www.youtube.com/watch?v=gxh7nhdn7jc&list=PLGLWzsul0GxoQ0lvgRHE0wwS17peB0f4L&index=15,,
